,skill_info_processed
37,kleidungsprodukt herstellen -- herstellen massenware maßgeschneidert bekleidung verschieden art -- verbinden zusammenfügen bekleidungskomponent nähen -- kleben heißkleben -- verbinden bekleidungskomponent mithilfe naht -- z. b. kragen -- ärmel -- vorderteil -- rückenteil -- tasche -- 
38,tabakblatt härten -- entfernen feuchtigkeit tabakblätter unmittelbar ernte verschieden verfahren lufttrocknung -- heißluft-/röhrentrocknung sonnentrocknung -- 
39,rehabilitationsprogramm entwickeln -- entwickeln rehabilitationsprogramm -- patient helfen -- fähigkeit wiederzuerlangen selbstvertrauen gewinnen -- 
40,"bestand reinigungsmittel aufrechterhalten -- kontrollieren bestand reinigungsmittel -- bestellen material -- lagerbestand aufbrauchen überwach verbrauch -- konstant verfügbarkeit gewährleisten -- 
    "
41,kaltvulkanisation -- technik reparatur defekt reifen -- insbesondere fahrradreife -- bestehend schleifen oberfläche riss -- auftragen vulkanisierungslösung befestigung flicken riss -- 
42,haushaltsführung beaufsichtigen -- beaufsichtig täglich service reinigungsarbeit zimmern öffentlich raum -- kontinuierlich betrieb gewährleisten -- 
43,gerätestörung ansprechperson agieren -- funktion ansprechperson -- fall gerätestörung kontaktieren -- mitwirken untersuchung bereitstellung wertvoll einblick -- 
44,zeitablauf landschaftsbau managen -- planen umsetzen arbeitsplän abstimmung aktivität landschaftsbau -- einschließlich briefing-phase -- landschaftsprojekt kunde erörtern -- folgen reihe skizze -- plan entwürf -- 
45,"beratung zollbestimmung leisten -- bereitstellen information einfuhr ausfuhrbeschränkungen -- zollsystem zollrelevant thema -- 
	 "
46,universitär fachbereich verwalten -- beaufsichtig bewerten förderpraktike universität -- wohlergehen studierend leistung lehrkraft -- 
47,terminologiedatenbanke entwickeln -- überprüfung legitimität zusammentragen übermitteln begriff -- terminologiedatenbanke vielzahl bereich aufbauen -- 
48,"nährwerteigenschaft lebensmittel bewerten -- bewertung nährwert lebensmittel -- einschließlich anteil fett -- kohlenhydrat -- zucker vitamin -- gut -- gesund ernährung beitragen -- 
	 "
49,elektrofahrräder instand setzen -- überprüfen funktionsweise elektrisch komponente -- kabel sicherung -- überprüfen schaden störung ermitteln ursache -- demontage reparatur fahrradkomponente -- z. b. zusatzantriebe -- schaltung -- stromversorgungssystem beleuchtung -- anpassen mechanisch elektronisch schaltung -- antrieb -- bremssystem bauteil fahrradrahmen -- überprüf schmiermittel betriebsflüssigkeit gehend -- flüssigkeit austauschen nachgefüllen -- 
50,sortierausrüstung warten -- routinemäßig warten durchführen klein reparatur sortierung abfall recycelbar material eingesetzt ausrüstung -- 
51,ausstattung gästezimmer erklären -- erläuter unterbringungsmöglichkeit gast demonstriere nutzung -- 
52,art gerste -- verschieden art gerste -- merkmal qualität -- 
53,kdevelop -- computerprogramm kdevelop suite softwareentwicklungswerkzeug schreibprogramm -- z. b. compiler -- debugger -- code-editor code-highlight -- einheitlich benutzeroberfläche verpacken -- softwaregemeinschaft kde entwickeln -- 
54,"fahrzeugteil kaufen -- bestelle speziell teil -- wartung reparatur vielzahl fahrzeug erforderlich -- 
	 "
55,offshorebauwerke untersuchen -- regelmäßige inspektion bau offshore-anlag ölplattform -- risikominimierung einhaltung vorschrift sicherstellen -- 
56,patient -- patientin medizinisch einrichtung transportieren -- hilfe heben tragen patient rettungsfahrzeug ankunft medizinisch einrichtung -- 
57,umschlagzuschnitt einstellen -- sicherstelle -- richtig vorgabe fensterung -- zuschnitt einfügen fensterfolie -- berücksichtigen -- aufbringen gummierung umschlagsilhouette fensterbereich maschine -- anpassen umschlag bezug fenster -- gummierung -- falz glattheit oberfläche einstellen -- 
58,öl vorbereiten -- auswählen -- mischen kombinieren geeignet öl kunde -- individuell mixtur spezifisch bedürfnis kunde erstellen -- führen aufzeichnung behandlung rahmen therapie eingesetzt ölmischung -- 
59,vorrat einkaufen -- einkaufen aufstocken vorräten -- sicherstelle -- benötigt vorhanden -- 
60,konzeption lebensmittel exzellenz anstreben -- versuch -- lebensmittel möglichst hoch qualität entwickeln -- 
61,reinigungsarbeit persönlich hygienestandard wahren -- einklang betreffend tätigkeit organisation geltend vorschrift sicherheit gesundheitsschutz sicherstellen -- durchführung reinigungstätigkeite persönlich hygiene sauberkeit gewährleisten entsprechend schutzausrüstung tragen -- 
62,schreibkräft kontakt stehen -- bereitstellen information bezug adressat -- geeignet format -- anzahl erforderlich kopie usw. -- schreibkraft endgültig dokument fertigstellen -- 
63,eisenbahnbetrieb beurteilen -- überprüfen untersuchen vorhanden ausrüstung -- anlage -- system verfahren schienenverkehr -- sicherheit effizienz eisenbahn verbessern -- qualität erhöhen kosten senken -- 
64,extremsportart ausüben -- ausüben sportart -- auszugehen -- hoch maß inhärent gefahr aufweisen geschwindigkeit -- höhe -- stark körperlich anstrengung spezialisiert ausrüstung verbinden -- 
65,"maßnahme förderung biologisch vielfalt tierschutz ergreifen -- verhaltensweise legen -- erhaltung stabil ökosystem bekämpfung massensterben beitragen -- z. b. bewusst ernährungsentscheidung -- ökologisch lebensmittelerzeugung tierschutz unterstützen -- 
   "
66,betreuungsperson kind drehort bereitstellen -- sicherstelle -- arbeit minderjährige stets betreuungsperson drehort anwesend -- 
67,arbeitsvorgang organisieren -- organisieren -- zuweisen koordinieren teammitglied -- organisieren produktionsprogramme plane produktion absatz -- beschaffen material ausrüstung -- verwalten bestand -- 
68,glasgravur-werkzeug verwenden -- abhängig art glas glasware verwenden gravurwerkzeuge stahl -- stein kupferräder -- 
69,abrissbirn steuern -- einsatz abrissbirne -- gebäude teil abreißen -- anheben abrissbirne mithilfe kran -- schwingen pendeln abrissbirne -- abzureißend struktur treffen -- vermeiden fehlversuch -- gewicht dynamik abrissbirne kran destabilisieren -- 
70,stoffqualität bewerten -- bewerten naht -- konfektione -- aufnäher -- verschlüss -- verzierung -- stoffschattierung -- mustertreue -übereinstimmung -- bänd futtern -- 
71,rückerstattung beantragen -- anfrage lieferant -- zurückzusenden tauschen rückerstattung erhalten -- 
72,"durchführbarkeitsstudie gebäudemanagementsystem ausführen -- bewertung einschätzung potenzial gebäudemanagementsystem durchführen -- durchführung standardisiert studie ermittlung energieeinsparungsbeitrag -- kosten einschränkung durchführung untersuchung unterstützung entscheidungsfindungsprozeß -- 
	 "
73,absorb -- lernmanagementsystem -- -- lernsystem absorb e-learning-plattform schaffung -- verwaltung bereitstellung e-learning-kurse schulungsprogrammen schüler sekundarstufe -- 
74,administrativ aufgabe schiff wahrnehmen -- erfüllen administrativ arbeitsrechtlich anforderung -- planen bereitstellung -- empfang verladens -- freigeben schiff gemäß geltend vorschrift -- 
75,inhaltsstoff kosmetika -- vielzahl kosmetika bestehen inhaltsstoff zerkleinert insekt rost -- 
76,erfahrung umgang sicherheit gast -- merkmal menschlich verhalten menschlich interaktion dynamik gewährleistung sicherheit gast -- 
77,baumaterialie beraten -- anbiet beratung testen verschieden baumaterialie -- 
78,rotierend ausrüstung warten -- routinemäßig warten rotierend ausrüstung -- sicherstellen -- sauber -- sicher funktionsfähig -- 
79,freiwillige secondhandlade leiten -- koordinieren freiwillige -- second-hand-laden arbeiten -- 
80,"pumpvorrichtungen einlagerungszwecke -- lagerung tank anlage verarbeitung gebleicht zellstoff schritt papierherstellungsverfahr -- 
	 "
81,biomedizinisch medizinisch wissenschaft zusammenhang zahnmedizin -- verhaltenskomponent sozial umfeld -- gesundheit mensch beeinflussen -- bezug zahnmedizin -- 
82,detail gussverfahren beobachten -- begleiten gießarbeit metallbearbeitung -- besonderheit qualitätsaspekt gusse gussforme rechnung tragen -- 
83,biomedizinisch wissenschaft -- grundsatz naturwissenschaft medizin anwenden -- medizinwissenschaft -- medizinisch mikrobiologie klinisch virologie -- wenden grundsatz biologie medizinisch kenntnis erfindung -- 
84,produktkenntnis laufenden halten -- zusammenstellen neu information entwicklung zusammenhang vorhanden unterstützt produkt -- methode technik -- 
85,ungarisch schreiben -- verfassen schriftlich text ungarisch sprache -- 
86,bohrspülung überwachen -- überwachen warten bohrspülung -- bohrschlamm nennen -- hinzufügen verschieden chemikalie flüssigkeit -- verschieden funktion bohrungsarbeit erfüllen -- kühlen bohrerspitz -- aufbauen hydrostatisch druck usw. 
87,effizienzplan seeschifffahrt entwickeln -- sicherstelle möglichst effizient nutzung laderaum schiffsbewegung -- überwachen anzahl vorhanden kran dockplatz bewerten physisch zustand schiff auswirkung frachtgewicht stabilität schiff -- 
88,verpackungsmaschine bedienen -- bedienen verpackungsmaschine füll -- etikettierung verschließmaschin -- erfassen bestand sortieren produkt -- gemäß spezifikation verarbeiten -- auffüllen erforderlich verpackungsmaterialien kiste -- karton -- packpapier -- plastikfolie -- klebstoff -- tinte etikett -- 
89,umgang tonprodukt aufklären -- beraten anderer arbeitnehmer bezüglich abdeckung endprodukt plane -- 
90,bohrausrüstung warten -- warten reparieren verschieden art bohrausrüstung -- 
91,baumkrankheit bekämpfen -- identifizieren krank unerwünscht baum -- entfernen baum motor handsäge -- 
92,künstlerisch konzept anhand geschehen bühne analysieren -- analysieren künstlerisch konzept -- art struktur live-darbietung grundlage beobachtung probe improvisation -- schaffen strukturiert basis konzeption bestimmt produktion -- 
93,datenbestand migrieren -- anwenden migration umwandlungsmethod vorhanden datum -- datum format -- speichern computersysteme übertragen umwandeln -- 
94,lieferung organisieren -- überwachen kontrollieren lieferfluß -- erwerb -- lagerung beförderung rohstoff erforderlich qualität bestandsaufnahme umfassen -- steuer lieferkettenaktivität abstimmen angebot anhand nachfrage produktion kundenseite -- 
95,menschlich faktor bereich sicherheit -- erwägung auswirkung sicherheit mensch -- 
96,"dachwartungsarbeit durchführen -- empfehle ausführen wartung reparaturarbeit -- z. b. reparatur gebrochen schindel -- austausch dachbahne -- beseitigung schutt absicherung regenrinne -- 
	 "
97,kocherarten -- gehören stationär rotierend dampfkocher -- holzschnitzel säurelösung kochen -- zellstoff papierherstellung gewinnen -- 
98,physisch datenbankstruktur definieren -- angeben physisch konfiguration datenbankdateie bestimmt medium -- hierbei handeln detailliert spezifikation indizierungsoptio -- datentype datenelement datenkatalog -- 
99,stein verlegen -- verlegen steinblöcke pflastersteine -- voraus richtig größe dicke zuschneiden -- steinmauer -treppen errichten -- gehweg verlegen tür fensterrahme einpassen -- 
100,zirkustakelage montieren -- aufbauen errichten zirkustakelage anhand anleitung -- technisch anweisung beschreibung -- 
101,"dokumentation bewertung früh lernerfahrung verwalten -- vereinbarung bewertend kompetenz -- erstellung bewertungsprotokoll entwicklung vorlag aufzeichnung bewertungsentscheidung -- erstellung kommunikationsplan -- verteilung einschlägig bewertungsunterlag behörde -- kunde kollege gemäß plan -- 
	 "
102,mund-und zahngesundheitsdiagnostik betreiben -- abfrage information stand mundhygiene -- durchführen untersuchung -- durchführen bildgebend untersuchung analyse befund -- diagnose stellen -- 
103,geoinformatik -- wissenschaftlich disziplin studium erhebung -- speicherung verarbeitung geografisch information -- 
104,kontaminationsschutzvorschrifte -- vorschrift exposition kontaminiert material gefährlich umfeld -- maßnahme zusammenhang risikobewertung -- minimierung exposition -- quarantäne behandlung exponiert person regeln -- 
105,maltego -- plattform maltego forensisch anwendung -- data mining verwenden -- überblick organisationsumgebung erhalten -- sicherheitslück system potenziell unbefugt zugriff testen komplexität infrastrukturausfäll belegen -- 
106,archiv historisch quelle suchen -- durchsuchen archiv -- historisch forschung benötigt quelle ermitteln -- 
107,kampfszen überwachen -- vermittel erwartung zielvorgabe -- übermitteln kampfsequenz -- technisch aspekt kampfdisziplin usw. unterstützen ausübend künstler -- tänzer verinnerlichung kampfsequenz techniken -- beobachten künstler -- tänzer praxis -- bereitstellen motivation unterstützung -- potenzial vollständig ausschöpfen -- sensibilisieren ausübend künstler verbunden risiko -- motivieren ausübend künstler -- kampf proben -- 
108,filmskript erstellen -- erstellen dokument bezeichnung -- skript -- -- storyboard -- -- information figur handlungsort geschichte -- 
109,funkgerät bedienen -- einrichten betreiben funkgerät -zubehör rundfunkkonsole -- verstärker mikrofon -- verstehen grundlage funkersprache bedarf erteilen anweisung korrekt bedienung funkgerät -- 
110,kontaminiert material entfernen -- entfernen gefahrstoff kontaminiert material gerät -- umgebung kontamination schützen kontaminiert material reinigen entsorgen -- 
111,lackqualität prüfen -- kontrollieren qualität lack prüfung viskosität -- homogenität anderer faktor -- 
112,kartonagengrößen -- unterschiedlich kartonagengrößen europa -- 4-stellig code definieren europäisch vereinigung wellpappehersteller -- fefco -- spezifiziern -- kartonagengröße eher kompliziert besonderer kartondesigns -- 
113,finanzinformation immobilie sammeln -- zusammenstell information früh transaktion zusammenhang immobilie -- z. b. preis -- immobilie zuvor verkaufen -- kosten renovierung reparaturarbeit -- klar bild wert immobilie erhalten -- 
114,finanztransaktion zurückverfolgen -- beobachten -- verfolgen analysieren finanztransaktion -- unternehmen bank tätigen -- bestimmen gültigkeit transaktion überprüfen verdächtig hoch risiko behaftet transaktion -- misswirtschaft vermeiden -- 
115,veranstaltung qualität physiotherapeutisch dienstleistung beitragen -- teilnehme aktivität förderung qualität -- insbesondere hinblick erwerb bewertung ausrüstung -- ressource -- sicher speicher lieferantenmanagement -- 
116,radiator installieren -- installieren wärmeaustauscher -- umgebung mithilfe wärmeenergie kühl aufheizen -- anschließen leitung zentralheizungssystem -- 
117,"beratung pflegeprodukt haustier leisten -- bereitstellen beratungsleistung grundlegend pflegeprodukt nahrungsergänzung vitamin -- verschieden art haustier verabreichen -- 
	 "
118,fernerkundungsanlage bedienen -- einrichten bedienen fernerkundungsanlage radaranlage -- teleskop luftbildkameras -- information erdoberfläche erdatmosphäre erhalten -- 
119,treppensteigung treppenlauf berechnen -- berechnen geeignet maß steigung lauf treppe berücksichtigung gesamthöhe tiefe treppenstufe -- bodenbelag verschieden treppenabmessunge -- komfortabel benutzung ermöglichen -- 
120,hilfe tier -- notfallbehandlung tier -- einschließlich grundsatz ziel erste-hilfe-behandlung tier -- 
121,outdoor-gruppe einfühlen -- ermitteln outdoor-aktivität -- grundlage bedürfnis gruppe zulässig geeignet -- 
122,hintergrundinformatione nachricht verfügung stellen -- bereitstellen wesentlich kontext berichterstattung national international nachricht -- situation nah erläutern -- 
123,schaltplan -- lesen verstehen schaltplän -- verbindung gerät hervorgehen -- z. b. strom signalverbindung -- 
124,künstlerisch produktion ausarbeiten -- erfassen dokumentieren künstlerisch produktion phase direkt vorführung -- sodass wiedergeben relevant information weiterhin zugänglich -- 
125,passagier-serviceeinheit einbauen -- installieren passagier-serviceeinheit decke luftfahrzeug mithilfe hand elektrowerkzeuge -- 
126,geschrieben koreanisch verstehen -- lesen verstehen schriftlich text koreanisch sprache -- 
127,"aufzeichnung feststellung brückenprüfung führen -- aufzeichnen ergebnis brückenuntersuchung übermitteln zuständig behörde -- 
    "
128,sandstrahlmaschinenteil -- verschieden teil typ sandstrahlmaschine -- eigenschaft einsatzmöglichkeit -- pedal -- strahldüse -- staubabscheid -- filter schleifmittel -- 
129,"modell erstellen -- erstellen skizze schaffung dreidimensional modell modell medium vorbereitung kunstwerk -- 
    "
130,"verfahren kontrolle gefährlich stoff rahmen gesundheitsvorschrifte befolgen -- einhalten verfahren kontrolle gefährlich stoff rahmen gesundheitsvorschrifte tätigkeit -- gefährlich stoff bakterie -- allergene -- altöl -- lacke bremsflüssigkeit einsatz -- erkrankung verletzung führen -- 
	 "
131,visuell eindruck auslag beurteilen -- auswerte rückmeldunge kunde mitarbeiter bezüglich visuell eindruck auslag vitrin -- bedarf vornehme änderung -- 
132,glas servieren auswählen -- auswählen geeignet glas servieren getränk überprüfen qualität sauberkeit gläser -- 
133,herz-kreislauf-system -- herz-kreislauf-system einschließlich anatomie -- physiologie pathophysiologie kreislaufsystem gesund krank zustand -- 
134,biosicherheit zusammenhang tier -- bewusstsein hygiene biosicherheitsmaßnahmen arbeit tier -- einschließlich ursache -- übertragung verhütung krankheit einsatz strategie -- material gerät -- 
135,information verschreibung überprüfen -- überprüfen information verschreibung patient arztpraxis -- sicherstellen -- vollständig korrekt -- 
136,verantwortung wahrung sicher umgebung schiff übernehmen -- gewährleist sicherheit besatzung passagier bord -- 
137,hygienepraktik fischerei einhalten -- einhalten einschlägig vorschrift verfahren hygienisch einwandfrei ausführung fischereibezogen aufgabe zuständigkeit fischerei -- 
138,arbeit konstruktionsplanung beaufsichtigen -- überwachen laufend arbeit planungsphase ort -- 
139,baum vermessen -- vornehme relevant messung baum -- feststellen höhe mithilfe neigungswinkelmesser umfang mithilfe maßband schätzen wachstumsrate mittels zuwachsbohrer rindenstärkenmesser -- 
140,daube biegen -- anwenden verschieden technik -- holzbretter gewünscht biegung bringen -- z. b. weichmachen holz dampfkiste allmählich ersetzen reifen stark reife -- 
141,musik aufführung auswählen -- auswählen musikstück live-aufführung -- berücksichtigen verschieden faktor fähigkeit ensemble -- verfügbarkeit entsprechend notation erfordernis musikalisch vielfalt -- 
142,geologisch kartografie -- technik erstellung karte -- geologisch gegebenheit gesteinsschicht bereich deutlich hervorgehen -- bergbauprojekt geologisch erkundung nutzen -- 
143,elektronenstrahlschweißanlage pflegen -- pflege metallbearbeitungsmaschin -- konstruieren -- mithilfe elektronenstrahl konzentriert wärmequelle metallteil miteinander verbinden -- überwach bedienen maschine gemäß vorschrift -- 
144,"zugänglichkeit infrastruktur gewährleisten -- konsultation planer -- bauunternehmer mensch behinderung -- ermitteln -- infrastruktur zugänglich -- 
	 "
145,tischgedecke prüfen -- überprüfen tischgedecke -- einschließlich besteck gläser -- -- sicherstellen -- tisch korrekt eindecken -- 
146,auto automatisch getriebe fahren -- sicheres führen fahrzeug automatikgetriebe gemäß vorschrift -- 
147,infusion vorbereiten -- zugabe abgemessen medikamentendose nährstoff intravenös lösung aufsicht apotheker herstellung infusion steril bedingung -- 
148,elektronisch gerät konfigurieren -- sicherstelle -- elektronisch gerät ordnungsgemäß einrichten -- 
149,erlang -- technik grundsatz softwareentwicklung -- analyse -- algorithm -- programmierung -- test zusammenstellung programmparadigmen erlang -- 
150,speziell notfallausrüstung bedienen -- ordnungsgemäß verwenden notfallausrüstung -- extern defibrillator -- beatmungsbeutel maske -- splintschien tropfinfusion -- professionell lebensrettungsmaßnahme -- erforderlichenfalls erstellen elektrokardiogramm -- 
151,verkaufsfläche planen -- wirksames verteilen einzelhandelsfläche -- bestimmt kategorie zuteilen -- 
152,broschüre verfassen -- erstellen fly -- z. b. stellenangebote -- leute einstellen -- werbeflyer unterstützung werbekampagn -- 
153,goldschmiedewerkzeuge verwenden -- bearbeit -- modifizieren reparieren goldschmiedeausrüstung spann befestigungsvorrichtung handwerkzeug schaber -- säg -- meißel fräsen -- 
154,wein kosten -- kosten wein sensorisch prüfung bewertung wein -- kontrolle aussehen bewertung bestimmt merkmal aroma glas -- geschmacksnuance mund nachgeschmack abgang -- 
155,herstellung armatur -- herstellung industrie -- sanitär heizarmatur -- 
156,sensorisch parameter öl fett kontrollieren -- kontrollieren sensorisch parameter geschmack -- geruch konsistenz olivenöl -- samen kernöle speisefett -- 
157,kokillenteil instand halten -- ausführen klein reparatur wartungsarbeit kokille komponente -- 
158,gesprochen ungarisch verstehen -- verstehen ungarisch sprache gesprochen form -- 
159,wartung elektrisch anlage flughafen terminieren -- einplan wartungstermin einzeln komponente elektrisch anlage flughafen -- festlegen wartungsintervalle verschieden komponente gleichzeitig überwachung gesamtflugbetrieb -- 
160,prästationär notfall-traumaversorgung leisten -- bereitstellen prästationären medizinisch notfall-traumaversorgung einfach multipl traumata -- z. b. bekämpfung blutung -- behandlung schock -- versorgen verletzung ruhigstelle schmerzhaft geschwollen deformation extremität -- hals wirbelsäule -- 
161,geschichte tabak -- verschieden phase entwicklung tabakanbau -- kulturell besonderheit handel lauf -- 
162,eventmanagement durchführen -- plane ausführen technisch logistisch aspekt -- erfolgreich veranstaltung erforderlich -- 
163,gesprochen walisisch verstehen -- verstehen walisisch sprache gesprochen form -- 
164,ikt-datenklassifizierung steuern -- überwach klassifizierungssystem unternehmen organisation datum -- zuweisen dateneigentümer jeder -- massen-)datenkonzept ermitteln wert dateneinheit -- 
165,bögenaufzeichnung führen -- aufzeichnen nummer bestimmt bögenfolg vergabe seriennummer vorhanden ausgeschnitten ausgegeben steuermark -- 
166,gummilösung aufpinseln -- aufpinsel gummilösung verschlüs ventil seite bearbeitet gummizwischenlage -- 
167,lederwarenkollektion entwickeln -- übertragen idee konzept gestaltung lederwaren prototype schließlich kollektion -- analysieren überprüfen verschieden aspekt konzept -- beispielsweise hinblick funktionalität -- ästhetik -- leistung herstellbarkeit -- verwalten entwicklungsprozess prototype lederwaren -- bedürfnis kunde gerecht qualität produktionskosten einklang bringen -- 
168,problemlösung finden -- lösen problem -- planung -- priorisierung -- organisation -- steuerung -- erleichterung maßnahme leistungsbewertung auftreten -- anwendung systematisch verfahren sammlung -- analyse synthese information bewertung derzeitig praxis gewinnung neu erkenntnis praxis -- 
169,kulturell trend analysieren -- pflege aktuell stand kulturell trend popkultur -- kulturell sozial ausdrucksform -- 
170,wasserqualität gehegen beurteilen -- analysieren wasserqualität überwachung temperatur sauerstoffgehalt -- 
171,aufbau live-performance verstehen -- ermitteln choreografisch struktur live-performance -- kennen abfolge -- abschnitt -- teil rhythmisch struktur -- 
172,elektrolyt kathode anode einsetzen -- sicheres eintauchen anode kathode stromkreis elektrolytlösung -- bestehend metallsalzen -- säure -- base ione -- stromfluss erleichtern -- 
