,course_name,skill_label
104,Experte in Unternehmensaufbau und Organisation,Techniken zur Ermittlung von Geschäftsanforderungen
105,Experte in Unternehmensaufbau und Organisation,Marketingkampagnen in den sozialen Medien planen
106,Experte in Unternehmensaufbau und Organisation,Marketing-Grundlagen vermitteln
107,Experte in Unternehmensaufbau und Organisation,Netzwerk-Marketing
108,Experte in Unternehmensaufbau und Organisation,Marketinginhalte bewerten
109,Experte in Unternehmensaufbau und Organisation,Marketing über soziale Medien anwenden
110,Experte in Unternehmensaufbau und Organisation,Anträge auf staatliche Finanzhilfe vorbereiten
111,Experte in Unternehmensaufbau und Organisation,Forschungsmittel beantragen
112,Experte in Unternehmensaufbau und Organisation,Informationen zur Bildungsfinanzierung bereitstellen
113,Experte in Unternehmensaufbau und Organisation,finanzielle Unterstützung erhalten
114,Experte in Unternehmensführung,Arbeitsmarktangebote
115,Experte in Unternehmensführung,sich an Veränderungen anpassen
116,Experte in Unternehmensführung,sich an Änderungen in der Forstwirtschaft anpassen
117,Experte in Unternehmensführung,in einem multikulturellen Umfeld im Gesundheitswesen arbeiten
118,Experte in Unternehmensführung,in der Fischerei in einem multikulturellen Umfeld arbeiten
119,Experte in Unternehmensführung,in einem internationalen Umfeld arbeiten
120,Experte in Unternehmensführung,harmonisches Verhältnis zu Menschen mit unterschiedlichem kulturellem Hintergrund aufbauen
121,Experte in Unternehmensführung,organisatorischer Aufbau
122,Experte in Unternehmensführung,auf interdisziplinärer Ebene kooperieren
123,Experte in Unternehmensführung,Leiter und Leiterinnen der Unternehmensabteilungen führen
124,Experte in Unternehmensführung,Leitlinien der Unternehmenszentrale in betriebliche Vorgänge vor Ort einbinden
125,Experte in Unternehmensführung,die Führung des Unternehmens durch visionäre Zielsetzungen prägen
126,Experte in Unternehmensführung,Grundlagen der Elektrizität vermitteln
127,Experte in Unternehmensführung,Lehrveranstaltungen an der Universität abhalten
128,Experte in Unternehmensführung,in militärischen Pflichten unterrichten
129,Experte in Unternehmensführung,Personal schulen
130,Experte in Unternehmensführung,Personal verwalten
131,Experte in Unternehmensführung,Personalwesen
132,Experte in Unternehmensführung,auf Vorstellungsgespräch vorbereiten
133,Experte in Unternehmensführung,mit Buchprüfern in Kontakt stehen
134,Experte in Unternehmensführung,Qualifikationslücken erkennen
135,Experte in Unternehmensführung,aus einer Sitzung gezogene Lehren aufzeichnen
136,Experte in Unternehmensführung,Ergebnisse der Bewertung früherer Lernerfahrungen festhalten
137,Experte in Unternehmensführung,Prüfungen für Berufsausbildungskurse vorbereiten
138,IT-Projektmanagement,Arbeitsmarktangebote
139,IT-Projektmanagement,sich an Veränderungen anpassen
140,IT-Projektmanagement,sich an Änderungen in der Forstwirtschaft anpassen
141,IT-Projektmanagement,in einem multikulturellen Umfeld im Gesundheitswesen arbeiten
142,IT-Projektmanagement,in der Fischerei in einem multikulturellen Umfeld arbeiten
143,IT-Projektmanagement,in einem internationalen Umfeld arbeiten
144,IT-Projektmanagement,harmonisches Verhältnis zu Menschen mit unterschiedlichem kulturellem Hintergrund aufbauen
145,IT-Projektmanagement,organisatorischer Aufbau
146,IT-Projektmanagement,auf interdisziplinärer Ebene kooperieren
147,IT-Projektmanagement,agiles Projektmanagement
148,IT-Projektmanagement,schlankes Projektmanagement
149,IT-Projektmanagement,Grundlagen der Elektronik und Automation vermitteln
150,IT-Projektmanagement,Grundlagen der Elektrizität vermitteln
151,IT-Projektmanagement,Projekttreffen organisieren
152,IT-Projektmanagement,Praktika beaufsichtigen
153,IT-Projektmanagement,Prinzipien des Projektmanagements
154,IT-Projektmanagement,prozessorientiertes Management
155,IT-Projektmanagement,Projektmanagement-Methode (PM²)
156,IT-Projektmanagement,Methoden für Projekte anpassen
157,IT-Projektmanagement,Einhaltung des Projektfertigstellungstermins sicherstellen
158,IT-Projektmanagement,IKT-Projektmanagement-Methoden
159,IT-Projektmanagement,Projekt-Konfigurationsmanagement
160,IT-Projektmanagement,Projekte managen
161,IT-Projektmanagement,Personal rekrutieren
162,IT-Projektmanagement,staatliche Finanzierungen verwalten
163,IT-Projektmanagement,Entwurfskosten berechnen
164,IT-Projektmanagement,Finanzmittel verwalten
165,IT-Projektmanagement,Werkzeugmaschinen bedienen
166,IT-Projektmanagement,Projektmetriken verwalten
167,IT-Projektmanagement,Inspektionsanalyse durchführen
168,IT-Projektmanagement,Qualitätsmanagementsysteme umsetzen
169,IT-Projektmanagement,Richtlinien des internen Risikomanagements
170,IT-Projektmanagement,IKT-Risikomanagement durchführen
171,IT-Projektmanagement,Projektinformationen verwalten
172,PHP Programmierer und Datenbankentwickler,PHP
173,PHP Programmierer und Datenbankentwickler,MySQL
174,PHP Programmierer und Datenbankentwickler,Drupal
175,PHP Programmierer und Datenbankentwickler,AJAX
176,PHP Programmierer und Datenbankentwickler,ASP.NET
177,PHP Programmierer und Datenbankentwickler,JavaScript
178,PHP Programmierer und Datenbankentwickler,Perl
179,PHP Programmierer und Datenbankentwickler,SQL Server
180,PHP Programmierer und Datenbankentwickler,FileMaker (Datenbankmanagementsysteme)
181,PHP Programmierer und Datenbankentwickler,Python (Computerprogrammierung)
182,PHP Programmierer und Datenbankentwickler,WordPress
183,PHP Programmierer und Datenbankentwickler,grundlegende Programmierkenntnisse anwenden
184,PHP Programmierer und Datenbankentwickler,Bibliotheksmaterial ausstellen
185,PHP Programmierer und Datenbankentwickler,Bibliotheksmaterialien evaluieren
186,PHP Programmierer und Datenbankentwickler,Bibliotheksmaterialien klassifizieren
187,PHP Programmierer und Datenbankentwickler,Studierende in Bibliotheksfragen unterstützen
188,PHP Programmierer und Datenbankentwickler,Bücher einstufen
189,PHP Programmierer und Datenbankentwickler,ObjectStore
190,PHP Programmierer und Datenbankentwickler,objektorientierte Programmierung verwenden
191,"Programmierung PHP Frameworks: Laravel, Symfony, Zend",PHP
192,"Programmierung PHP Frameworks: Laravel, Symfony, Zend",Drupal
193,"Programmierung PHP Frameworks: Laravel, Symfony, Zend",WordPress
194,"Programmierung PHP Frameworks: Laravel, Symfony, Zend",bildgebende Verfahren
195,Shopsystem Administrator,Bestellungen aus dem Online-Geschäft bearbeiten
196,Shopsystem Administrator,bestellte Waren zum Versand zusammenstellen
197,Shopsystem Administrator,Einkaufszyklus leiten
198,Shopsystem Administrator,Zahlungsmethoden festlegen
199,Shopsystem Administrator,Lagerdatenerfassungssysteme bedienen
200,Shopsystem Administrator,Lieferungen in Auftrag geben
201,Shopsystem Administrator,Drive-In-Bestellungen aufnehmen
202,Shopsystem Administrator,Bestellungen für Bekleidungsartikel aufgeben
203,Shopsystem Administrator,Kundenbestellungen bearbeiten
204,Shopsystem Administrator,Produktmuster austeilen
205,Shopsystem Administrator,analytische Erkenntnisse mitteilen
206,Shopsystem Administrator,Marktforschungsberichte erstellen
207,Shopsystem Administrator,Verkaufsanalyse durchführen
208,Shopsystem Administrator,Verkaufsschlager analysieren
209,Shopsystem Administrator,Analytik zu geschäftlichen Zwecken nutzen
210,Shopsystem Administrator,Transportsoftware im Zusammenhang mit einem Warenwirtschaftssystem
211,Shopsystem Administrator,Regelungen für den Kundendienst planen
212,Shopsystem Administrator,Lagerbestand verwalten
213,Shopsystem Administrator,Umsatzzahlen für Produkte kontrollieren
214,Shopsystem Administrator,Prognose für Produktnachfrage erstellen
215,Shopsystem Administrator,Kunden und Kundinnen Orientierung bei der Produktauswahl bieten
216,Shopsystem Administrator,Lagerverwaltungssysteme nutzen
217,Shopsystem Administrator,Kundendaten analysieren
218,Shopsystem Administrator,Lagerbetrieb verwalten
219,Shopsystem Administrator,Abläufe und Verfahren leiten
220,Shopsystem Administrator,Channel-Marketing
221,Shopsystem Administrator,Netzwerk-Marketing
222,Shopsystem Administrator,Techniken für Online-Werbekampagnen
223,Shopsystem Administrator,digitale Vermarktungsmethoden
224,Shopsystem Administrator,Online-Wettbewerbsanalyse durchführen
225,Shopsystem Administrator,Bewertung der Webstrategie
226,Shopsystem Administrator,Online-Datenanalyse durchführen
227,Shopsystem Administrator,Wettrecht
228,Shopsystem Administrator,Rechtsterminologie
229,Shopsystem Administrator,Schuldrecht
230,Shopsystem Administrator,Gewerberecht
231,Shopsystem Administrator,Verbraucherschutz
232,Shopsystem Administrator,Zivilrecht
233,Shopsystem Administrator,rechtmäßigen Geschäftsbetrieb sicherstellen
234,Social-Media Manager,Pressemappe für die Medien erstellen
235,Social-Media Manager,Marketingkampagnen in den sozialen Medien planen
236,Social-Media Manager,Social-Media-Marketing-Methoden
237,Social-Media Manager,Strategie des Content Marketing
238,Social-Media Manager,Social Media Management
239,Social-Media Manager,Mediaplanung
240,Social-Media Manager,Werbeanzeigen erstellen
241,Social-Media Manager,einen strategischen Marketingplan für das Reisezielmanagement erstellen
242,Social-Media Manager,Medienstrategie entwickeln
243,Social-Media Manager,Marketingkampagne planen
244,Social-Media Manager,Netzwerk-Marketing
245,Social-Media Manager,Ethik der Veröffentlichung eigener Werke in den sozialen Medien
246,Social-Media Manager,Autorensoftware
247,Social-Media Manager,Medienintegrationssystem entwerfen
248,Social-Media Manager,Software für Content-Management-Systeme nutzen
249,Social-Media Manager,Beziehungen zu den Medien aufbauen
250,Social-Media Manager,Prognose für Unternehmensrisiken erstellen
251,Social-Media Manager,Forschung über Medienkanäle betreiben
252,Social-Media Manager,hinsichtlich der sozialen Medien auf dem Laufenden bleiben
253,Social-Media Manager,Marketing über soziale Medien anwenden
254,Social-Media Manager,Marketingplan für Ausstellungen erstellen
255,Social-Media Manager,Aktionen im Rahmen des Marketingplans koordinieren
256,Social-Media Manager,Kalibrierungsverfahren entwickeln
257,Social-Media Manager,Bohrlochmessungen in der Förderung überwachen
258,Social-Media Manager,Sicherheitsausrüstung bedienen
259,Social-Media Manager,Rentabilität überwachen
260,Social-Media Manager,Leistung meteorologischer Geräte überwachen
261,Social-Media Manager,Zustand der Ausrüstung überwachen
262,Social-Media Manager,Vermessungstechniken
263,Starte jetzt: Heranführung an die selbstständige Tätigkeit,mit Branchenexperten zusammenarbeiten
264,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Laufbahnberatung leisten
265,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Beratungsmethoden
266,Starte jetzt: Heranführung an die selbstständige Tätigkeit,persönliche Fertigkeiten entwickeln
267,Starte jetzt: Heranführung an die selbstständige Tätigkeit,die eigenen Kompetenzen bei der Leitung von Community-Art-Projekten beurteilen
268,Starte jetzt: Heranführung an die selbstständige Tätigkeit,über die Vermeidung von Umweltverschmutzung beraten
269,Starte jetzt: Heranführung an die selbstständige Tätigkeit,patientenzentrierte Beratung
270,Starte jetzt: Heranführung an die selbstständige Tätigkeit,mit Staatsbediensteten zusammenarbeiten
271,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Sich mit den Unternehmenszielen identifizieren
272,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Kundenziele ermitteln
273,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Zielvorgaben für Transporte machen
274,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Arbeitsmarktangebote
275,Starte jetzt: Heranführung an die selbstständige Tätigkeit,Beschäftigte entlassen
276,Vermarktungsstrategien online und offline,Netzwerk-Marketing
277,Vermarktungsstrategien online und offline,Online-Moderationstechniken
278,Vermarktungsstrategien online und offline,Techniken für Online-Werbekampagnen
279,Vermarktungsstrategien online und offline,Channel-Marketing
280,Vermarktungsstrategien online und offline,Arbeitsmarktangebote
281,Vermarktungsstrategien online und offline,intermodaler Verkehr
282,Vermarktungsstrategien online und offline,Verkaufsstrategien
283,Vermarktungsstrategien online und offline,Marketingstrategien in die umfassende Unternehmensstrategie einbinden
284,Vermarktungsstrategien online und offline,Marketingstrategien umsetzen
285,Vermarktungsstrategien online und offline,Beförderungsstrategie umsetzen
286,Vermarktungsstrategien online und offline,Lehrveranstaltungen an der Universität abhalten
287,Vermarktungsstrategien online und offline,Marketing-Grundlagen vermitteln
288,Vermarktungsstrategien online und offline,Grundlagen der Elektrizität vermitteln
289,Vermarktungsstrategien online und offline,Grundlagen der Rechtsdurchsetzung vermitteln
290,Vermarktungsstrategien online und offline,Grundlagen des Gastgewerbes vermitteln
291,"Webentwicklung 2.0 - HTML5, CSS3, WordPress",Drupal
292,"Webentwicklung 2.0 - HTML5, CSS3, WordPress",WordPress
293,"Webentwicklung 2.0 - HTML5, CSS3, WordPress",WebCMS
294,"Webentwicklung 2.0 - HTML5, CSS3, WordPress",Webprogrammierung
295,"Webentwicklung 2.0 - HTML5, CSS3, WordPress",CSS
296,Zukunftswert Mensch: tiefgreifend-wirksame individuelle Unterstützung,einzelne Mitarbeiter/Mitarbeiterinnen betreuen
297,Zukunftswert Mensch: tiefgreifend-wirksame individuelle Unterstützung,die Verankerung dirigieren
298,Zukunftswert Mensch: tiefgreifend-wirksame individuelle Unterstützung,pharmazeutische Fachversorgung anbieten
299,Zukunftswert Mensch: tiefgreifend-wirksame individuelle Unterstützung,Freiwillige unterstützen
300,Zukunftswert Mensch: tiefgreifend-wirksame individuelle Unterstützung,Service in den Vordergrund stellen
301,Zukunftswert Mensch: tiefgreifend-wirksame individuelle Unterstützung,auf Vorstellungsgespräch vorbereiten
302,Weiterbildung Wildnispädagogik,Anthropologie
303,Weiterbildung Wildnispädagogik,die Öffentlichkeit über die Tierwelt informieren
304,Qualifizierung zur Anerkennung für Erzieher*innen (IQ Netzwerk Brandenburg),Grundsätze der Jugendarbeit
305,Qualifizierung zur Anerkennung für Erzieher*innen (IQ Netzwerk Brandenburg),sportliche Aktivitäten im Bildungsbereich fördern
306,Qualifizierung zur Anerkennung für Erzieher*innen (IQ Netzwerk Brandenburg),Sozialversicherungsprogramme fördern
307,Qualifizierung zur Anerkennung für Erzieher*innen (IQ Netzwerk Brandenburg),Sozialversicherungsprogramme entwickeln
308,Qualifizierung zur Anerkennung für Erzieher*innen (IQ Netzwerk Brandenburg),Auswirkungen von Programmen der sozialen Fürsorge bewerten
309,Qualifizierung zur Anerkennung für Erzieher*innen (IQ Netzwerk Brandenburg),Freiwillige unterstützen
310,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,digitale Kompetenz vermitteln
311,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,technische Schulung erbringen
312,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Spiele demonstrieren
313,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Lehrplanziele
314,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Lehrpläne für Berufsausbildungskurse erstellen
315,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Kursunterlagen zusammenstellen
316,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,mit virtuellen Lernumgebungen arbeiten
317,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Unterrichtsinhalte vorbereiten
318,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Unterrichtsmethoden an Zielgruppe anpassen
319,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Montessori-Lehrmethoden anwenden
320,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Unterrichtsmaterialien bereitstellen
321,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,vorbereitend unterrichten
322,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,individuelle Lernpläne erstellen
323,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Kursüberblick erstellen
324,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Proben vorbereiten
325,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,mathematische Grundkenntnisse vermitteln
326,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Geometrie
327,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Mathematik
328,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Mathematik unterrichten
329,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Rechenkenntnisse anwenden
330,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Grundsätze der Ingenieurwissenschaften
331,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Konstruktionsvorgaben erarbeiten
332,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,ergonomisch arbeiten
333,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,andere unterweisen
334,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Freiwillige instruieren
335,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,ausländische Studierende betreuen
336,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Schüler/Schülerinnen beim Lernen unterstützen
337,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,digitales Lehrmaterial entwickeln
338,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Computerspielfiguren erstellen
339,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Lerntechnologien
340,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Handlung von digitalen Spielen aufbauen
341,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Klasse managen
342,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Erfahrungen und Kompetenzen im Unterricht demonstrieren
343,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Lehrmethoden anwenden
344,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Planung von Nullenergiehäusern
345,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,neue Ideen recherchieren
346,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Instruktionsdesign-Modelle
347,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Brainstorming zur Ideenentwicklung durchführen
348,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,kreativ denken
349,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Live-Präsentation geben
350,Digitales spielbasiertes Lernen - Einsatzmöglichkeiten und Potenziale von Spiel- und Lernmechaniken im eigenen Unterricht,Blended Learning anwenden
